,description,category,amount,time,source,title,amount_without_iof,account,id,tokenized,href,details.status,details.subcategory,_links.self.href,details.tags,details.charges.count,details.charges.amount,details.lat,details.lon,details.fx.currency_origin,details.fx.amount_origin,details.fx.amount_usd,details.fx.precise_amount_origin,details.fx.precise_amount_usd,details.fx.exchange_rate
0,Ifood *Ifood,transaction,2487,2022-01-16T15:36:41Z,upfront_national,supermercado,2487.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61e43b89-1d3c-47a6-ab08-e4d43b4dec98,False,nuapp://transaction/61e43b89-1d3c-47a6-ab08-e4d43b4dec98,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61e43b89-1d3c-47a6-ab08-e4d43b4dec98,,,,,,,,,,,
1,Netflix.Com,transaction,3990,2022-01-16T13:08:49Z,upfront_national,serviços,3990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,True,nuapp://transaction/61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,unsettled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61e418e2-67c5-4c05-9b27-7fc8cb7d60ee,,,,,,,,,,,
2,Rappi*Rappi Brasil Int,transaction,6192,2022-01-12T15:13:48Z,upfront_national,transporte,6192.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61def02d-b283-4ca6-bc77-49740a612a19,True,nuapp://transaction/61def02d-b283-4ca6-bc77-49740a612a19,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61def02d-b283-4ca6-bc77-49740a612a19,,,,,,,,,,,
3,Amazonprimebr,transaction,990,2022-01-10T00:18:43Z,upfront_national,educação,990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db7b64-030e-483a-bd07-274c331c35fc,False,nuapp://transaction/61db7b64-030e-483a-bd07-274c331c35fc,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db7b64-030e-483a-bd07-274c331c35fc,,,,,,,,,,,
4,Bg Norte Alimentos,transaction,5200,2022-01-09T22:51:46Z,upfront_national,restaurante,5200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db6707-14ba-4d5e-b9bb-c75f0b64d402,False,nuapp://transaction/61db6707-14ba-4d5e-b9bb-c75f0b64d402,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db6707-14ba-4d5e-b9bb-c75f0b64d402,['ilhabela'],,,,,,,,,,
5,Padaria Elite,transaction,1700,2022-01-09T18:39:55Z,upfront_national,restaurante,1700.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db2bfb-78b1-4013-a950-6725a8363eeb,False,nuapp://transaction/61db2bfb-78b1-4013-a950-6725a8363eeb,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db2bfb-78b1-4013-a950-6725a8363eeb,['ilhabela'],,,,,,,,,,
6,Agape,transaction,3106,2022-01-09T16:50:53Z,upfront_national,restaurante,3106.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61db126d-c92f-4be9-9ff4-87ab0ca29158,False,nuapp://transaction/61db126d-c92f-4be9-9ff4-87ab0ca29158,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61db126d-c92f-4be9-9ff4-87ab0ca29158,['ilhabela'],,,,,,,,,,
7,Pag*Anaclaudiatacosta,transaction,1200,2022-01-09T14:10:41Z,upfront_national,supermercado,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61daece1-ffc6-45e5-aa08-907b1dee24b4,False,nuapp://transaction/61daece1-ffc6-45e5-aa08-907b1dee24b4,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61daece1-ffc6-45e5-aa08-907b1dee24b4,['ilhabela'],,,,,,,,,,
8,Amazon-Marketplace,transaction,21857,2022-01-08T21:44:58Z,upfront_national,eletrônicos,21857.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61da05db-bd44-4163-9b6b-ce6bb2bfa344,False,nuapp://transaction/61da05db-bd44-4163-9b6b-ce6bb2bfa344,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61da05db-bd44-4163-9b6b-ce6bb2bfa344,,,,,,,,,,,
9,Barba Frutos do Mar,transaction,11990,2022-01-08T18:51:37Z,upfront_national,restaurante,11990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9dd39-2386-4eee-b0eb-b69c9ce12a31,False,nuapp://transaction/61d9dd39-2386-4eee-b0eb-b69c9ce12a31,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9dd39-2386-4eee-b0eb-b69c9ce12a31,['ilhabela'],,,,,,,,,,
10,Pag*Liliaaparecidaalv,transaction,1400,2022-01-08T18:34:41Z,upfront_national,eletrônicos,1400.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9d941-9605-4bf0-924c-ed5f86b113c5,False,nuapp://transaction/61d9d941-9605-4bf0-924c-ed5f86b113c5,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9d941-9605-4bf0-924c-ed5f86b113c5,['ilhabela'],,,,,,,,,,
11,Checkup Car - Loja,transaction,111430,2022-01-08T14:31:36Z,installments_merchant,transporte,111430.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d9a049-1638-4bdd-9995-2516841c3366,False,nuapp://transaction/61d9a049-1638-4bdd-9995-2516841c3366,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d9a049-1638-4bdd-9995-2516841c3366,['🚗'],4.0,27857.0,,,,,,,,
12,Ice By Nice,transaction,3600,2022-01-07T22:36:51Z,upfront_national,restaurante,3600.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d8c084-982b-4dd5-a3f0-60265ab90d72,False,nuapp://transaction/61d8c084-982b-4dd5-a3f0-60265ab90d72,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d8c084-982b-4dd5-a3f0-60265ab90d72,['ilhabela'],,,,,,,,,,
13,Atrevida Modas,transaction,2499,2022-01-07T20:10:55Z,upfront_national,vestuário,2499.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d89e4f-3198-491d-871f-2629376d3a4f,False,nuapp://transaction/61d89e4f-3198-491d-871f-2629376d3a4f,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d89e4f-3198-491d-871f-2629376d3a4f,['ilhabela'],,,,,,,,,,
14,Victoria Turismo,transaction,1000,2022-01-07T18:25:05Z,upfront_national,restaurante,1000.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d88581-88a7-4724-9779-50a544a495ed,False,nuapp://transaction/61d88581-88a7-4724-9779-50a544a495ed,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d88581-88a7-4724-9779-50a544a495ed,['ilhabela'],,,,,,,,,,
15,Sorveteria Rochinha,transaction,1550,2022-01-07T17:04:04Z,upfront_national,supermercado,1550.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d87285-e73a-483a-ba6f-eda4ecc6eb48,False,nuapp://transaction/61d87285-e73a-483a-ba6f-eda4ecc6eb48,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d87285-e73a-483a-ba6f-eda4ecc6eb48,['ilhabela'],,,,,,,,,,
16,Pag*Mocabonitabare,transaction,8888,2022-01-07T16:54:24Z,upfront_national,restaurante,8888.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d87040-07e2-4ad9-87ec-e3c1294deb28,False,nuapp://transaction/61d87040-07e2-4ad9-87ec-e3c1294deb28,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d87040-07e2-4ad9-87ec-e3c1294deb28,['ilhabela'],,,,,,,,,,
17,Restaurante Conves,transaction,18359,2022-01-06T01:15:58Z,upfront_national,restaurante,18359.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d642cf-d83b-4384-96cc-fbc31639eb9c,False,nuapp://transaction/61d642cf-d83b-4384-96cc-fbc31639eb9c,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d642cf-d83b-4384-96cc-fbc31639eb9c,['ilhabela'],,,,,,,,,,
18,3361raia,transaction,2949,2022-01-05T23:32:21Z,upfront_national,saúde,2949.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d62a87-e54f-4ceb-b052-c07169f911c3,False,nuapp://transaction/61d62a87-e54f-4ceb-b052-c07169f911c3,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d62a87-e54f-4ceb-b052-c07169f911c3,['ilhabela'],,,,,,,,,,
19,Supermercado do Frade,transaction,1199,2022-01-05T23:29:36Z,upfront_national,supermercado,1199.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d629e0-442a-4ad5-a61c-77bb55146e1a,False,nuapp://transaction/61d629e0-442a-4ad5-a61c-77bb55146e1a,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d629e0-442a-4ad5-a61c-77bb55146e1a,['ilhabela'],,,,,,,,,,
20,Pag*Sosfarma132,transaction,1200,2022-01-05T23:11:05Z,upfront_national,saúde,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d6258a-c5ad-459c-9041-dbfbad7d19e0,False,nuapp://transaction/61d6258a-c5ad-459c-9041-dbfbad7d19e0,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d6258a-c5ad-459c-9041-dbfbad7d19e0,['ilhabela'],,,,,,,,,,
21,Centro Aut Port Perdiz,transaction,14670,2022-01-05T11:47:56Z,upfront_national,transporte,14670.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d5856c-f930-4557-9d59-e84511938128,False,nuapp://transaction/61d5856c-f930-4557-9d59-e84511938128,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d5856c-f930-4557-9d59-e84511938128,['🚗'],,,,,,,,,,
22,Centro Aut Port Perdiz,transaction,72425,2022-01-05T11:45:43Z,installments_merchant,transporte,72425.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d584e8-511d-4576-b5ad-caa6da0c2ce0,False,nuapp://transaction/61d584e8-511d-4576-b5ad-caa6da0c2ce0,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d584e8-511d-4576-b5ad-caa6da0c2ce0,['🚗'],3.0,24141.0,,,,,,,,
23,Claro Pgto Fatu Mensal,transaction,6629,2022-01-05T09:09:31Z,upfront_national,eletrônicos,6629.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d5604c-8427-4382-a86c-f25ff00f9565,False,nuapp://transaction/61d5604c-8427-4382-a86c-f25ff00f9565,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d5604c-8427-4382-a86c-f25ff00f9565,['celular'],,,,,,,,,,
24,Ifood *Ifoodgorjeta,transaction,200,2022-01-05T01:41:52Z,upfront_national,transporte,200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d4f761-8444-453b-aaa0-a2f6fe7375c1,False,nuapp://transaction/61d4f761-8444-453b-aaa0-a2f6fe7375c1,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d4f761-8444-453b-aaa0-a2f6fe7375c1,,,,,,,,,,,
25,Ifood *Ifood,transaction,8399,2022-01-05T01:00:56Z,upfront_national,restaurante,8399.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d4edc9-bd0d-429d-b2ab-a75c248d379f,False,nuapp://transaction/61d4edc9-bd0d-429d-b2ab-a75c248d379f,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d4edc9-bd0d-429d-b2ab-a75c248d379f,['ilhabela'],,,,,,,,,,
26,Pao de Acucar 0150 Car,transaction,26220,2022-01-04T23:32:16Z,upfront_national,supermercado,26220.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d4d900-f657-4929-b4ce-068d620f66ec,False,nuapp://transaction/61d4d900-f657-4929-b4ce-068d620f66ec,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d4d900-f657-4929-b4ce-068d620f66ec,['ilhabela'],,,,,,,,,,
27,Decathlon Paulista,transaction,749,2022-01-04T21:54:23Z,upfront_national,vestuário,749.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d4c210-a947-43a8-8618-59f38ea74891,False,nuapp://transaction/61d4c210-a947-43a8-8618-59f38ea74891,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d4c210-a947-43a8-8618-59f38ea74891,,,,,,,,,,,
28,Sua Academia,transaction,10990,2022-01-03T20:14:01Z,upfront_national,lazer,10990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d3590a-6cfc-4b5d-af78-0ed72821f029,False,nuapp://transaction/61d3590a-6cfc-4b5d-af78-0ed72821f029,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d3590a-6cfc-4b5d-af78-0ed72821f029,['smartfit'],,,,,,,,,,
29,Pag*Freigalvao,transaction,4300,2022-01-03T16:26:36Z,upfront_national,eletrônicos,4300.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d323bd-da04-43e2-bb94-26874be5cf73,False,nuapp://transaction/61d323bd-da04-43e2-bb94-26874be5cf73,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d323bd-da04-43e2-bb94-26874be5cf73,,,,,,,,,,,
30,Amazon Aws Servicos Br,transaction,388,2022-01-03T08:24:54Z,upfront_national,serviços,388.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d2b2d6-3303-4c53-9526-d53a8bdfdeab,False,nuapp://transaction/61d2b2d6-3303-4c53-9526-d53a8bdfdeab,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d2b2d6-3303-4c53-9526-d53a8bdfdeab,,,,,,,,,,,
31,Portal do Morumbi,transaction,690,2022-01-01T13:52:56Z,upfront_national,transporte,690.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d05cb9-6c3d-4a34-be7f-a00b520eb763,False,nuapp://transaction/61d05cb9-6c3d-4a34-be7f-a00b520eb763,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d05cb9-6c3d-4a34-be7f-a00b520eb763,,,,,,,,,,,
32,Drogasil,transaction,2968,2022-01-01T13:50:48Z,upfront_national,saúde,2968.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61d05c39-188a-48c8-b18a-5f9dd35cc3ff,False,nuapp://transaction/61d05c39-188a-48c8-b18a-5f9dd35cc3ff,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61d05c39-188a-48c8-b18a-5f9dd35cc3ff,,,,,,,,,,,
33,Mercado Extra 1793 Ita,transaction,15381,2021-12-31T00:30:55Z,upfront_national,supermercado,15381.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61ce4f44-19a0-4585-afd9-e44a9832476c,False,nuapp://transaction/61ce4f44-19a0-4585-afd9-e44a9832476c,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61ce4f44-19a0-4585-afd9-e44a9832476c,,,,,,,,,,,
34,Pag*Viverenatural,transaction,400,2021-12-30T22:57:18Z,upfront_national,supermercado,400.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61ce394e-6577-4dcd-8d02-a4384a25c596,False,nuapp://transaction/61ce394e-6577-4dcd-8d02-a4384a25c596,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61ce394e-6577-4dcd-8d02-a4384a25c596,,,,,,,,,,,
35,Daiso Brasil,transaction,2597,2021-12-30T00:57:53Z,upfront_national,outros,2597.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61cd0413-e23a-4d13-84df-85d2eacdce52,False,nuapp://transaction/61cd0413-e23a-4d13-84df-85d2eacdce52,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61cd0413-e23a-4d13-84df-85d2eacdce52,,,,,,,,,,,
36,Maesan Guloseimas Spma,transaction,1428,2021-12-30T00:08:32Z,upfront_national,supermercado,1428.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61ccf883-3277-4ff7-8fea-23229c2b867e,False,nuapp://transaction/61ccf883-3277-4ff7-8fea-23229c2b867e,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61ccf883-3277-4ff7-8fea-23229c2b867e,,,,,,,,,,,
37,Decathlon Ecommerce,transaction,7999,2021-12-29T16:40:27Z,upfront_national,vestuário,7999.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61cc8f7d-aea3-4a6b-ba45-ef12c6119242,False,nuapp://transaction/61cc8f7d-aea3-4a6b-ba45-ef12c6119242,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61cc8f7d-aea3-4a6b-ba45-ef12c6119242,,,,,,,,,,,
38,Departamento Hidroviar,transaction,13480,2021-12-29T11:29:54Z,upfront_national,transporte,13480.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61cc46b3-7715-45a7-98ed-28fc20f1da8c,False,nuapp://transaction/61cc46b3-7715-45a7-98ed-28fc20f1da8c,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61cc46b3-7715-45a7-98ed-28fc20f1da8c,,,,-23.6933151,-46.8322318,,,,,,
39,Dia Brasil Lj,transaction,1734,2021-12-28T23:44:05Z,upfront_national,supermercado,1734.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61cba145-e77e-4d93-9960-42c007d5835d,False,nuapp://transaction/61cba145-e77e-4d93-9960-42c007d5835d,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61cba145-e77e-4d93-9960-42c007d5835d,,,,,,,,,,,
40,Mix Real Comercio,transaction,1348,2021-12-27T11:44:08Z,upfront_national,eletrônicos,1348.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c9a708-7781-4630-9dbc-884581562a69,False,nuapp://transaction/61c9a708-7781-4630-9dbc-884581562a69,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c9a708-7781-4630-9dbc-884581562a69,,,,,,,,,,,
41,Mana Poke,transaction,900,2021-12-26T23:01:15Z,upfront_national,restaurante,900.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c8f43c-23fd-4b53-bc87-a216011fdf30,False,nuapp://transaction/61c8f43c-23fd-4b53-bc87-a216011fdf30,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c8f43c-23fd-4b53-bc87-a216011fdf30,,,,,,,,,,,
42,Raia,transaction,4564,2021-12-24T23:06:47Z,upfront_national,saúde,4564.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c65289-e33c-46ca-adbb-424f9847d2c5,False,nuapp://transaction/61c65289-e33c-46ca-adbb-424f9847d2c5,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c65289-e33c-46ca-adbb-424f9847d2c5,,,,,,,,,,,
43,Mp *Juniortaxisp,transaction,5130,2021-12-24T02:05:57Z,upfront_national,transporte,5130.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c52b05-ea4a-423c-be87-9d6a644326d9,False,nuapp://transaction/61c52b05-ea4a-423c-be87-9d6a644326d9,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c52b05-ea4a-423c-be87-9d6a644326d9,,,,,,,,,,,
44,Refugio Patagonia,transaction,2700,2021-12-22T00:33:54Z,upfront_national,restaurante,2700.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c27273-528d-4a6c-9113-56aa8f055dd8,False,nuapp://transaction/61c27273-528d-4a6c-9113-56aa8f055dd8,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c27273-528d-4a6c-9113-56aa8f055dd8,,,,,,,,,,,
45,Maestro Gelato e Cafe,transaction,3500,2021-12-22T00:09:43Z,upfront_national,restaurante,3500.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c26cc8-3a5c-40ca-b415-04488cc98ed2,False,nuapp://transaction/61c26cc8-3a5c-40ca-b415-04488cc98ed2,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c26cc8-3a5c-40ca-b415-04488cc98ed2,,,,,,,,,,,
46,Titia Avo Maria Coxinh,transaction,4356,2021-12-20T23:49:45Z,upfront_national,restaurante,4356.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61c1169a-288d-4faf-b750-060069c2d897,False,nuapp://transaction/61c1169a-288d-4faf-b750-060069c2d897,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61c1169a-288d-4faf-b750-060069c2d897,,,,,,,,,,,
47,Amoratto Sorvetes Arte,transaction,2300,2021-12-19T19:24:44Z,upfront_national,supermercado,2300.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bf86ff-f544-4994-8598-afc201648cd2,False,nuapp://transaction/61bf86ff-f544-4994-8598-afc201648cd2,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bf86ff-f544-4994-8598-afc201648cd2,,,,,,,,,,,
48,Pag*Claudecirkailer,transaction,2800,2021-12-19T13:36:00Z,upfront_national,restaurante,2800.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bf3540-2b20-4ffd-a4ae-3d4cd72568b6,False,nuapp://transaction/61bf3540-2b20-4ffd-a4ae-3d4cd72568b6,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bf3540-2b20-4ffd-a4ae-3d4cd72568b6,,,,,,,,,,,
49,Pag*Panvelfilial447,transaction,5632,2021-12-18T21:47:40Z,upfront_national,saúde,5632.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61be56fe-c6fa-4b52-b38e-99fd037022c8,False,nuapp://transaction/61be56fe-c6fa-4b52-b38e-99fd037022c8,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61be56fe-c6fa-4b52-b38e-99fd037022c8,,,,,,,,,,,
50,Rest Lagoa Azul,transaction,13620,2021-12-18T17:29:53Z,upfront_national,restaurante,13620.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61be1a92-3ac8-4952-86d0-339443bc26b3,False,nuapp://transaction/61be1a92-3ac8-4952-86d0-339443bc26b3,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61be1a92-3ac8-4952-86d0-339443bc26b3,,,,,,,,,,,
51,Rappi*Rappi Brasil Int,transaction,88125,2021-12-18T01:11:50Z,upfront_national,transporte,88125.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bd3557-e5dc-470f-888b-8a719d3d230d,True,nuapp://transaction/61bd3557-e5dc-470f-888b-8a719d3d230d,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bd3557-e5dc-470f-888b-8a719d3d230d,,,,-23.5880346,-46.7140667,,,,,,
52,99app *99app,transaction,3192,2021-12-17T23:16:44Z,upfront_national,transporte,3192.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bd1a5d-fd2c-488e-a5e7-02e399addf03,False,nuapp://transaction/61bd1a5d-fd2c-488e-a5e7-02e399addf03,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bd1a5d-fd2c-488e-a5e7-02e399addf03,,,,,,,,,,,
53,99app *99app,transaction,500,2021-12-17T22:29:00Z,upfront_national,transporte,500.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bd0f2d-4963-4f04-ba08-b739f9ba2e2c,False,nuapp://transaction/61bd0f2d-4963-4f04-ba08-b739f9ba2e2c,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bd0f2d-4963-4f04-ba08-b739f9ba2e2c,,,,,,,,,,,
54,Netflix.Com,transaction,3990,2021-12-16T11:26:18Z,upfront_national,serviços,3990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61bb225b-ccb2-4dc0-8627-d84798462a32,True,nuapp://transaction/61bb225b-ccb2-4dc0-8627-d84798462a32,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61bb225b-ccb2-4dc0-8627-d84798462a32,,,,,,,,,,,
55,Mp *Flashcar,transaction,5500,2021-12-12T16:00:17Z,upfront_national,transporte,5500.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b61c91-fa85-48de-b3d2-558f046d9877,False,nuapp://transaction/61b61c91-fa85-48de-b3d2-558f046d9877,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b61c91-fa85-48de-b3d2-558f046d9877,,,,,,,,,,,
56,Mp *Viabikesp,transaction,76000,2021-12-12T13:32:05Z,upfront_national,transporte,76000.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b5f9d6-e9d4-4e2b-8e18-21da9805be2c,False,nuapp://transaction/61b5f9d6-e9d4-4e2b-8e18-21da9805be2c,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b5f9d6-e9d4-4e2b-8e18-21da9805be2c,,,,,,,,,,,
57,Rappi*Milano Comercio,transaction,5380,2021-12-12T00:33:56Z,upfront_national,restaurante,5380.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b54376-c997-4581-acf4-71386238ad53,True,nuapp://transaction/61b54376-c997-4581-acf4-71386238ad53,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b54376-c997-4581-acf4-71386238ad53,,,,,,,,,,,
58,Francilene Rodrigues B,transaction,6500,2021-12-11T20:46:09Z,upfront_national,serviços,6500.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b50e12-e0a9-4ab1-9625-10fe54642711,False,nuapp://transaction/61b50e12-e0a9-4ab1-9625-10fe54642711,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b50e12-e0a9-4ab1-9625-10fe54642711,,,,,,,,,,,
59,Amazon.Com.Br,transaction,948,2021-12-11T20:09:36Z,upfront_national,eletrônicos,948.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b50581-4761-4d5f-8ead-5d457ad5a91a,False,nuapp://transaction/61b50581-4761-4d5f-8ead-5d457ad5a91a,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b50581-4761-4d5f-8ead-5d457ad5a91a,,,,,,,,,,,
60,Pp *Amo Canecas,transaction,4645,2021-12-11T16:07:28Z,upfront_national,casa,4645.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b4ccc1-a1c5-453e-b8dd-77e2424276b4,False,nuapp://transaction/61b4ccc1-a1c5-453e-b8dd-77e2424276b4,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b4ccc1-a1c5-453e-b8dd-77e2424276b4,,,,,,,,,,,
61,St Marche,transaction,4348,2021-12-11T12:16:56Z,upfront_national,supermercado,4348.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b496b9-2265-43e0-86cd-9e93a9bd151e,False,nuapp://transaction/61b496b9-2265-43e0-86cd-9e93a9bd151e,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b496b9-2265-43e0-86cd-9e93a9bd151e,,,,,,,,,,,
62,Atletica Fea Usp,transaction,400,2021-12-10T22:31:16Z,upfront_national,outros,400.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b3d534-07da-44ef-9bd7-fdc14fda58a7,False,nuapp://transaction/61b3d534-07da-44ef-9bd7-fdc14fda58a7,settled,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b3d534-07da-44ef-9bd7-fdc14fda58a7,,,,,,,,,,,
63,Amazonprimebr,transaction,990,2021-12-10T00:27:17Z,upfront_national,educação,990.0,59ea3883-de78-4530-af24-91c5eb9a0bed,61b29ee6-b22a-4f3b-acf6-724fca7e5d4e,False,nuapp://transaction/61b29ee6-b22a-4f3b-acf6-724fca7e5d4e,settled,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/61b29ee6-b22a-4f3b-acf6-724fca7e5d4e,,,,,,,,,,,
