,description,category,amount,time,source,title,amount_without_iof,account,id,tokenized,href,details.status,details.subcategory,_links.self.href,details.tags,details.charges.count,details.charges.amount,details.lat,details.lon,details.fx.currency_origin,details.fx.amount_origin,details.fx.amount_usd,details.fx.precise_amount_origin,details.fx.precise_amount_usd,details.fx.exchange_rate
327,Raia,transaction,4417,2020-07-15T19:38:33Z,upfront_national,saúde,4417.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5f0f5b3b-cda4-4cbe-91da-d612f41f2995,False,nuapp://transaction/5f0f5b3b-cda4-4cbe-91da-d612f41f2995,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5f0f5b3b-cda4-4cbe-91da-d612f41f2995,,,,,,,,,,,
328,Amazon.Com.Br,transaction,7395,2020-07-06T00:00:19Z,upfront_national,eletrônicos,7395.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5f026994-eed7-4a1c-9099-ca597c64bb6b,False,nuapp://transaction/5f026994-eed7-4a1c-9099-ca597c64bb6b,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5f026994-eed7-4a1c-9099-ca597c64bb6b,,,,,,,,,,,
329,Ciclo Dias,transaction,10500,2020-06-29T13:54:25Z,installments_merchant,transporte,10500.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef9f292-a248-45a5-9b6d-681cd6e358be,False,nuapp://transaction/5ef9f292-a248-45a5-9b6d-681cd6e358be,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef9f292-a248-45a5-9b6d-681cd6e358be,,2.0,5250.0,,,,,,,,
330,Netflix.Com,transaction,4590,2020-06-28T10:25:42Z,upfront_national,serviços,4590.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef87027-38f3-47b7-a4ba-e0f3cb653748,False,nuapp://transaction/5ef87027-38f3-47b7-a4ba-e0f3cb653748,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef87027-38f3-47b7-a4ba-e0f3cb653748,,,,,,,,,,,
331,Amazon.Com.Br,transaction,28962,2020-06-26T01:41:07Z,installments_merchant,eletrônicos,28962.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef55233-a4cd-4ebb-8410-6d74e0246078,False,nuapp://transaction/5ef55233-a4cd-4ebb-8410-6d74e0246078,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef55233-a4cd-4ebb-8410-6d74e0246078,['educação '],6.0,4827.0,,,,,,,,
332,Ciclo Dias,transaction,4000,2020-06-22T11:59:36Z,upfront_national,transporte,4000.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef09d28-4d45-489b-a970-fc580616a954,False,nuapp://transaction/5ef09d28-4d45-489b-a970-fc580616a954,,card_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef09d28-4d45-489b-a970-fc580616a954,,,,,,,,,,,
333,Linkedin-542*8137873,transaction,5437,2020-06-22T11:25:13Z,upfront_foreign,outros,5111.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef0951a-f1bb-4b25-82e0-eb11d0fd7be0,False,nuapp://transaction/5ef0951a-f1bb-4b25-82e0-eb11d0fd7be0,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef0951a-f1bb-4b25-82e0-eb11d0fd7be0,,,,,,USD,941.0,941.0,9.41,9.41,5.431455897980872
334,Pg *Nexo Jornal*Nexo,transaction,1200,2020-06-22T07:03:16Z,upfront_national,serviços,1200.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ef057b4-f1cb-4153-9e34-f02b3ed29d59,False,nuapp://transaction/5ef057b4-f1cb-4153-9e34-f02b3ed29d59,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ef057b4-f1cb-4153-9e34-f02b3ed29d59,,,,,,,,,,,
335,Magalu Pagam*Magazinel,transaction,229410,2020-06-16T21:20:32Z,upfront_national,serviços,229410.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ee937a1-e8f5-4fd2-8451-b3e8ffad7985,False,nuapp://transaction/5ee937a1-e8f5-4fd2-8451-b3e8ffad7985,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ee937a1-e8f5-4fd2-8451-b3e8ffad7985,,,,,,,,,,,
336,Amazon.Com.Br Digital,transaction,891,2020-06-15T19:14:42Z,upfront_national,educação,891.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ee7c8a2-88cd-42ab-acb9-cf0eabd8f0da,False,nuapp://transaction/5ee7c8a2-88cd-42ab-acb9-cf0eabd8f0da,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ee7c8a2-88cd-42ab-acb9-cf0eabd8f0da,,,,,,,,,,,
337,Paypal *Resume Io,transaction,14210,2020-06-11T10:22:07Z,upfront_foreign,serviços,13358.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ee205d0-8e67-476f-9bc7-936763722629,False,nuapp://transaction/5ee205d0-8e67-476f-9bc7-936763722629,,unknown,https://prod-s2-facade.nubank.com.br/api/transactions/5ee205d0-8e67-476f-9bc7-936763722629,,,,,,BRL,12931.0,2627.0,129.31,26.27,5.084887704606015
338,Coursra2rvbhgsxoe90py,transaction,29416,2020-05-31T22:21:20Z,upfront_foreign,educação,27652.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ed42de1-8341-4a9a-9c71-08a88217bb2f,False,nuapp://transaction/5ed42de1-8341-4a9a-9c71-08a88217bb2f,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ed42de1-8341-4a9a-9c71-08a88217bb2f,,,,-23.6954874,-46.8321527,USD,4900.0,4900.0,49,49,5.643265306122449
339,Linkedin-561*0989844,transaction,5578,2020-05-29T14:12:20Z,upfront_foreign,outros,5243.0,59ea3883-de78-4530-af24-91c5eb9a0bed,5ed11844-0e8e-45ab-b3d0-6bf2b980dc30,False,nuapp://transaction/5ed11844-0e8e-45ab-b3d0-6bf2b980dc30,,card_not_present,https://prod-s2-facade.nubank.com.br/api/transactions/5ed11844-0e8e-45ab-b3d0-6bf2b980dc30,,,,-23.6954892,-46.832157,USD,929.0,929.0,9.29,9.29,5.6437029063509145
